movie_data
"movie_name:Ant-Man year:2015 runtime:117 min genre:Action, Comedy, Sci-Fi description:Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world. description:Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world. director:Peyton Reed star:Paul Rudd, 
Michael Douglas, 
Corey Stoll, 
Evangeline Lilly"
"movie_name:Edge of Tomorrow year:2014 runtime:113 min genre:Action, Adventure, Sci-Fi description:A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies. description:A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies. director:Doug Liman star:Tom Cruise, 
Emily Blunt, 
Bill Paxton, 
Brendan Gleeson"
"movie_name:The Lord of the Rings: The Return of the King year:2003 runtime:201 min genre:Action, Adventure, Drama description:Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring. description:Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring. director:Peter Jackson star:Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom"
"movie_name:The Hunger Games: Catching Fire year:2013 runtime:146 min genre:Action, Adventure, Sci-Fi description:Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem. description:Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem. director:Francis Lawrence star:Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Philip Seymour Hoffman"
"movie_name:Ford v Ferrari year:2019 runtime:152 min genre:Action, Biography, Drama description:American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966. description:American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966. director:James Mangold star:Matt Damon, 
Christian Bale, 
Jon Bernthal, 
Caitríona Balfe"
"movie_name:Eternals year:2021 runtime:156 min genre:Action, Adventure, Fantasy description:The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations. description:The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations. director:Chloé Zhao star:Gemma Chan, 
Richard Madden, 
Angelina Jolie, 
Salma Hayek"
"movie_name:Guardians of the Galaxy year:2014 runtime:121 min genre:Action, Adventure, Comedy description:A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe. description:A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe. director:James Gunn star:Chris Pratt, 
Vin Diesel, 
Bradley Cooper, 
Zoe Saldana"
"movie_name:Léon: The Professional year:1994 runtime:110 min genre:Action, Crime, Drama description:12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade. description:12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade. director:Luc Besson star:Jean Reno, 
Gary Oldman, 
Natalie Portman, 
Danny Aiello"
"movie_name:Mad Max: Fury Road year:2015 runtime:120 min genre:Action, Adventure, Sci-Fi description:In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max. description:In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max. director:George Miller star:Tom Hardy, 
Charlize Theron, 
Nicholas Hoult, 
Zoë Kravitz"
"movie_name:Road House year:1989 runtime:114 min genre:Action, Thriller description:A tough bouncer is hired to tame a dirty bar. description:A tough bouncer is hired to tame a dirty bar. director:Rowdy Herrington star:Patrick Swayze, 
Kelly Lynch, 
Sam Elliott, 
Ben Gazzara"
"movie_name:Free Guy year:2021 runtime:115 min genre:Action, Adventure, Comedy description:A bank teller discovers that he's actually an NPC inside a brutal, open world video game. description:A bank teller discovers that he's actually an NPC inside a brutal, open world video game. director:Shawn Levy star:Ryan Reynolds, 
Jodie Comer, 
Taika Waititi, 
Lil Rel Howery"
